-1 2 -4 0 -15 2
-0.98 3 -3.9 0 -14.7 3
-0.96 9 -3.8 0 -14.4 6
-0.94 11 -3.7 0 -14.1 4
-0.92 23 -3.6 0 -13.8 8
-0.9 28 -3.5 0 -13.5 4
-0.88 27 -3.4 0 -13.2 5
-0.86 24 -3.3 0 -12.9 0
-0.84 23 -3.2 0 -12.6 9
-0.82 39 -3.1 0 -12.3 9
-0.8 35 -3 0 -12 6
-0.78 55 -2.9 0 -11.7 8
-0.76 43 -2.8 0 -11.4 7
-0.74 43 -2.7 0 -11.1 7
-0.72 61 -2.6 0 -10.8 10
-0.7 57 -2.5 0 -10.5 9
-0.68 58 -2.4 0 -10.2 9
-0.66 71 -2.3 0 -9.9 5
-0.64 67 -2.2 0 -9.6 17
-0.62 77 -2.1 0 -9.3 14
-0.6 87 -2 0 -9 8
-0.58 92 -1.9 0 -8.7 11
-0.56 82 -1.8 0 -8.4 14
-0.54 88 -1.7 0 -8.1 15
-0.52 80 -1.6 0 -7.8 15
-0.5 95 -1.5 0 -7.5 21
-0.48 117 -1.4 0 -7.2 18
-0.46 103 -1.3 0 -6.9 36
-0.44 120 -1.2 0 -6.6 19
-0.42 111 -1.1 0 -6.3 22
-0.4 140 -1 0 -6 19
-0.38 117 -0.9 0 -5.7 33
-0.36 128 -0.8 0 -5.4 24
-0.34 125 -0.7 0 -5.1 41
-0.32 133 -0.6 0 -4.8 42
-0.3 147 -0.5 0 -4.5 66
-0.28 156 -0.4 0 -4.2 58
-0.26 166 -0.3 0 -3.9 53
-0.24 138 -0.2 0 -3.6 75
-0.22 184 -0.1 0 -3.3 75
-0.2 167 0 205 -3 105
-0.18 146 0.1 457 -2.7 107
-0.16 171 0.2 588 -2.4 172
-0.14 159 0.3 706 -2.1 201
-0.12 185 0.4 724 -1.8 246
-0.1 175 0.5 696 -1.5 327
-0.08 177 0.6 731 -1.2 440
-0.06 183 0.7 623 -0.9 585
-0.04 189 0.8 638 -0.6 835
-0.02 185 0.9 564 -0.3 907
0 197 1 499 0 917
0.02 203 1.1 474 0.3 843
0.04 184 1.2 406 0.6 635
0.06 209 1.3 360 0.9 442
0.08 220 1.4 321 1.2 337
0.1 188 1.5 243 1.5 257
0.12 173 1.6 250 1.8 203
0.14 142 1.7 222 2.1 178
0.16 165 1.8 172 2.4 123
0.18 148 1.9 158 2.7 122
0.2 159 2 136 3 94
0.22 165 2.1 104 3.3 73
0.24 158 2.2 116 3.6 49
0.26 157 2.3 88 3.9 48
0.28 129 2.4 79 4.2 65
0.3 135 2.5 72 4.5 48
0.32 142 2.6 68 4.8 33
0.34 132 2.7 38 5.1 25
0.36 135 2.8 36 5.4 42
0.38 113 2.9 28 5.7 34
0.4 120 3 28 6 19
0.42 125 3.1 23 6.3 22
0.44 117 3.2 27 6.6 16
0.46 99 3.3 18 6.9 15
0.48 87 3.4 20 7.2 14
0.5 101 3.5 12 7.5 21
0.52 85 3.6 16 7.8 14
0.54 80 3.7 9 8.1 18
0.56 98 3.8 11 8.4 9
0.58 90 3.9 6 8.7 17
0.6 86 4 6 9 16
0.62 85 4.1 6 9.3 6
0.64 68 4.2 2 9.6 11
0.66 81 4.3 1 9.9 14
0.68 64 4.4 2 10.2 8
0.7 61 4.5 1 10.5 10
0.72 61 4.6 4 10.8 10
0.74 50 4.7 2 11.1 6
0.76 34 4.8 1 11.4 10
0.78 52 4.9 0 11.7 4
0.8 35 5 1 12 2
0.82 42 5.1 0 12.3 11
0.84 25 5.2 1 12.6 5
0.86 22 5.3 0 12.9 4
0.88 20 5.4 0 13.2 4
0.9 22 5.5 1 13.5 3
0.92 12 5.6 0 13.8 2
0.94 14 5.7 0 14.1 6
0.96 6 5.8 0 14.4 4
0.98 2 5.9 0 14.7 4
