-1 0 -4 0 -15 2
-0.98 0 -3.9 0 -14.7 4
-0.96 0 -3.8 0 -14.4 7
-0.94 0 -3.7 0 -14.1 5
-0.92 0 -3.6 0 -13.8 1
-0.9 0 -3.5 0 -13.5 5
-0.88 0 -3.4 0 -13.2 8
-0.86 0 -3.3 0 -12.9 7
-0.84 0 -3.2 0 -12.6 5
-0.82 0 -3.1 0 -12.3 5
-0.8 0 -3 0 -12 7
-0.78 0 -2.9 0 -11.7 10
-0.76 0 -2.8 0 -11.4 4
-0.74 0 -2.7 0 -11.1 4
-0.72 0 -2.6 0 -10.8 3
-0.7 0 -2.5 0 -10.5 8
-0.68 1 -2.4 0 -10.2 8
-0.66 0 -2.3 0 -9.9 12
-0.64 0 -2.2 0 -9.6 10
-0.62 2 -2.1 0 -9.3 12
-0.6 5 -2 0 -9 12
-0.58 6 -1.9 0 -8.7 12
-0.56 6 -1.8 0 -8.4 14
-0.54 5 -1.7 0 -8.1 18
-0.52 5 -1.6 0 -7.8 15
-0.5 15 -1.5 0 -7.5 13
-0.48 18 -1.4 0 -7.2 19
-0.46 6 -1.3 0 -6.9 24
-0.44 30 -1.2 0 -6.6 18
-0.42 34 -1.1 0 -6.3 20
-0.4 35 -1 0 -6 29
-0.38 56 -0.9 0 -5.7 24
-0.36 78 -0.8 0 -5.4 34
-0.34 98 -0.7 0 -5.1 39
-0.32 105 -0.6 0 -4.8 39
-0.3 154 -0.5 0 -4.5 50
-0.28 142 -0.4 0 -4.2 54
-0.26 167 -0.3 0 -3.9 64
-0.24 196 -0.2 0 -3.6 61
-0.22 210 -0.1 0 -3.3 96
-0.2 266 0 0 -3 110
-0.18 283 0.1 0 -2.7 139
-0.16 316 0.2 10 -2.4 154
-0.14 342 0.3 51 -2.1 202
-0.12 378 0.4 232 -1.8 246
-0.1 404 0.5 503 -1.5 322
-0.08 376 0.6 845 -1.2 463
-0.06 407 0.7 1105 -0.9 643
-0.04 401 0.8 1270 -0.6 778
-0.02 424 0.9 1293 -0.3 891
0 444 1 1201 0 956
0.02 444 1.1 1025 0.3 850
0.04 397 1.2 771 0.6 607
0.06 393 1.3 576 0.9 450
0.08 412 1.4 427 1.2 332
0.1 368 1.5 264 1.5 280
0.12 327 1.6 168 1.8 213
0.14 327 1.7 113 2.1 149
0.16 292 1.8 59 2.4 140
0.18 258 1.9 28 2.7 100
0.2 235 2 27 3 84
0.22 198 2.1 15 3.3 65
0.24 178 2.2 7 3.6 57
0.26 131 2.3 4 3.9 77
0.28 109 2.4 3 4.2 56
0.3 104 2.5 0 4.5 35
0.32 98 2.6 1 4.8 37
0.34 71 2.7 1 5.1 28
0.36 56 2.8 1 5.4 31
0.38 52 2.9 0 5.7 29
0.4 38 3 0 6 20
0.42 26 3.1 0 6.3 23
0.44 23 3.2 0 6.6 31
0.46 8 3.3 0 6.9 23
0.48 13 3.4 0 7.2 18
0.5 8 3.5 0 7.5 25
0.52 6 3.6 0 7.8 13
0.54 5 3.7 0 8.1 15
0.56 3 3.8 0 8.4 9
0.58 1 3.9 0 8.7 12
0.6 2 4 0 9 12
0.62 1 4.1 0 9.3 10
0.64 0 4.2 0 9.6 9
0.66 0 4.3 0 9.9 11
0.68 1 4.4 0 10.2 9
0.7 0 4.5 0 10.5 8
0.72 0 4.6 0 10.8 12
0.74 0 4.7 0 11.1 6
0.76 0 4.8 0 11.4 5
0.78 0 4.9 0 11.7 7
0.8 0 5 0 12 14
0.82 0 5.1 0 12.3 5
0.84 0 5.2 0 12.6 2
0.86 0 5.3 0 12.9 3
0.88 0 5.4 0 13.2 5
0.9 0 5.5 0 13.5 6
0.92 0 5.6 0 13.8 5
0.94 0 5.7 0 14.1 2
0.96 0 5.8 0 14.4 5
0.98 0 5.9 0 14.7 2
